year,date,parents 1,parents 2,child,sponsors 1,sponsors 2,sponsors 3,sponsors 4,sponsors 5,parent last,sponsors 1 first,sponsors 1 middle,sponsors 1 last,sponsors 2 middle,sponsors 2 last,sponsors 2 first,sponsors 3 middle,sponsors 3 last,sponsors 3 first
1719,May 14,Johan Emerich,Margaretha Emerich,Johannes b. May 7,Wilhelm Lehmann,wife of Wilhelm Lehmann,,,,Emerich,Wilhelm,,Lehmann,of Wilhelm,Lehmann,wife,,,
1719,May 14,Christian Meyer,Anna Gerdraut Meyer,Catharina b. May 10,Sibylla Catharina Kohl,Hieronymus Weller,,,,Mayer,Sibylla,Catharina,Kohl,,Weller,Hieronymus,,,
1712,Jan 1,Conrad Behringer,Anna Elisabetha Behringer,"Maria;; Elisabetha b. Dec 30, 1711",,Elisabetha Schwitzlerin Maria,,,,Behringer,,,,Schwitzlerin,Maria,Elisabetha,,,
1712,Jan 4,Philip Peter Grauberger,Anna Barbara Grauberger,Johann Frierich b. Jan 1,Friedrich Maul,Johanna Fuhrer,,,,Grauberger,Friedrich,,Maul,,Fuhrer,Johanna,,,
1712,Jan 6,Heinrich Mohr,Anna Margretha Mohr,"Anna; Catharina b. Dec 31, 1711",Philip Mohr,Anna Elisabetha Stahl,Anna Sibylla Kohl,Catharina Kohlin,,Mohr,Philip,,Mohr,Elisabetha,Stahl,Anna,Sibylla,Kohl,Anna
1712,Jan 27,Mattheus Schlemmer,Anna Veronica Schlemmer,Anna Eva b. Jan 19,Anna Luisa Gistheler,Anna Eva Manges,Hans Veltin Falckenburger,,,Schlemmer,Anna,Luisa,Gistheler,Eva,Manges,Anna,Veltin,Falckenburger,Hans
1712,Jan 27,Just Henrich Schaster,Agnes Schast,Johann Henrich,Johan Ritzbackus,Anna Elisabeth Jung,,,,Schaster,Johan,,Ritzbackus,,Jung,Elisabetha,,,
1712,Jan 29,Joseph Reichard,Anna Maria Reichard,"Johann Bernhard b. Dec 30, 1711",Johan Bernhard Zipperl,Anna Maria Zipperl,,,,Reichard,Johan,Bernhard,Zipperl,Maria,Zipperl,Anna,,,
1712,Jan 31,Johan Henrich Krantz,Anna Catharina Krantz,Johann Henrich b. Jan 26 ;;;This entry was crossed out and a cross placed under the child's name,Johan Henrich Scharman,,,,,Krantz,Johan,Henrich,Scharman,,,,,,
1712,Jan 31,Johann Melchior Dausweber,Anna Magdalena Dausweber,Maria Regina b. Jan 24,Johan Strauss,Maria Elisabeth Strauss,Maria Regina Fridrichs,,,Dausweber,Johan,,Strauss,Elisabeth,Strauss,Maria,Regina,Fridrichs,Maria
1712,Feb 6,Johann Dietrich Wanenmacher,Anna Kunigunda Wanenmacher,Elisabetha Ottilia b. Feb 6;;;A cross was Placed beneath the child's name,Elisabetha Ottilia Storr,,,,,Wanenmacher,Elisabetha,Ottilia,Storr,,,,,,
1712,Feb 10,Hieronymus Weller,Anna Juliana Weller,Johann Friderich b. Feb 2,Johan Muller,Johan Friderich Haeger,Margaretha Mert,,,Weller,Johan,,Muller,Fridrich,Haeger,Johan,,Mert,Margaretha
1712,Feb 10,Johan Becker,Anna Elisabetha Becker,Johannes b. Feb 5,Johan Strauss,Anna Barbara Gunterman,,,,Becker,Johan,,Straub,Barbara,Gunterman,Anna,,,
1712,Feb 26,Johan Wilhelm Brandau,Maria Elisabetha Catharina Brandau,Johannes,Johan Franck,,,,,Brandau,Johannes,,Franck,,,,,,
1712,Mar 12,Johan Eberhard,Anna Sibylla Eberhard,Johann Georg b. Mar 9,Johan Georg Sponheimer,Anna Maria Sponheimer,,,,Eberhard,Johan,George,Sponheimer,Maria,Sponheimer,Anna,,,
1712,Mar 23,Kilian Planck,Juliana Jung Planck,Maria Margaretha Illegitimate child,Maria Margretha Schast,Jacob Jung,,,,Planck,Maria,Margretha,Schast,,Jung,Jacob,,,
1712,Mar 23,Adam Eckhard,Elisabeth Catharina Eckhard,Anna; Catharina b. Mar 23,Anna Cast,,,,,Eckhard,Anna,,Cast,,,,,,
1712,May 19,Peter Janson,Maria Janson,Peter b. Jan 4,Omy La Gransche,Elisabetha Gransche,,,,Janson,Omy,La,Gransche,,Gransche,Elisabetha,,,
1712,May 19,Andeas Volck,Anna Catharina Volck,Johannes b. Mar 15,Johan Fischer,Maria Fischer,,,,Volck,Johan,,Fischer,,Fischer,Maria,,,
1712,Apr 13,Rennier Von Husum,Anna Husum,Jannike b. Feb 22,Volkart Von Husum,Maria Husum,,,,Husum,Volkart,Von,Husum,,Husum,Maria,,,
1712,May 25,Johan Bond,Janike Bond,Mattheus b. May 1,Mattheus Guss,Rachel Bond,,,,Bond,Mattheus,,Guss,,Bond,Rachel,,,
1712,Jun 1,Johan Hess,Catharina Hess,Jannike b. May 20,Andeas Baggs,Anna Persch,,,,Hoes,Andeas,,Baggs,,Persch,Anna,,,
1712,Jun 8,Niclaus Trombour,Magdalena Trambauer,Anna; Christina b. Jun 2,Justina Luckhard,Bernhard Luckhard,,,,Trombour,Justina,,Lockhard,,Lockhard,Bernhard,,,
1712,Jun 11,Peter Losting,Cornelia Losting,Andreas b. Apr 16,Wilhelm Rees,Catharina Rees,,,,Losting,Wilhelm,,Rees,,Rees,Catharina,,,
1712,Jul 18,Jacob Sternberger,,Philippus Hieronymus b. Jul 16,Philip Peter Grauberger,Hieronymus Kle,Ludolph Curring,wife of Ludolph Curring,,Sternberger,Philip,Peter,Grauberger,,Kle,Hieronymus,,Curring,Ludolph
1712,Jul 20,Johan Leer,Sibylla Catharina Leer,Anna; Margretha b. Jul 8,Johan Becker,Anna Margretha Gerlach,Maria Margretha Wagner,,,Leer,Johan,,Becker,Margretha,Gerlach,Anna,Margretha,Wagner,Maria
1712,Jul 23,Johann Martin Netzbacher,Barbara Elisabetha Netzbacher,Johann Henrich b. Jul 18,Johan Henrich Conrad,,,,,Netzbacher,Johan,Henrich,Conrad,,,,,,
1712,Jul 27,Jorg Henrich Stubenrauch,Anna Catharina Stubenrauch,Georg Henrich b. Jul 26,Johan Henrich Conrad,,,,,Stubenrauch,Johan,Henrich,Conrad,,,,,,
1712,Jul 27,Kilian Munckler,Anna Margretha Munckler,Jacob b. Jul 24,Jacob Scherp,wife of Jacob Scherp,,,,Minkler,Jacob,,Scherp,of Jacob,Scherp,wife,,,
1712,Jul 28,Johann Philipp Finckel,Anna Catharina Finckel,Johann Philipp b. Jul 26,Johan Philipp Zerb,Anna Maria Schneider,,,,Finckel,Johan,Philipp,Zerb,Maria,Schneider,Anna,,,
1712,Jul 28,Andreas Finck,Maria Fink,Jacob b. Jul 28,Jacob Kobel,,,,,Fink,Jacob,,Kobel,,,,,,
1712,Aug 3,Johann Fridrich Bell,Anna Maria Bell,Johann Jacob b. Jul 28,Jacob Weber,Johan Michael Herder,Anna Eva Thomas,,,Bell,Jacob,,Weber,Michael,Herder,Johan,Eva,Thomas,Anna
1712,Aug 3,Jorg Martin Dillenbach,Sara Catharina Dillenbach,Anna; Margretha b. Aug 1,Jacob Losshaar,Anna Margretha Luamann,,,,Dillenbach,Jacob,,Losshaar,Margretha,Luamann,Anna,,,
1712,Aug 3,Niclaus Feller,Maria Elisabetha Feller,Maria;; Elisabetha b. Jul 26,,Maria Elisabetha Schnitt,,,,Feller,,,,Schallin,Maria,Elisabetha,,,
1712,Aug 3,Jacob Kobel,Anna Maria Kobel,Johann Henrich b. Jul 20,Johan Henrich Scharman,,,,,Kobel,Johan,Henrich,Schram,,,,,,
1712,Aug 4,Christoph Fuchs,Johanna Elisabetha Fuchs,Johann Philipp b. Jul 31,Johan Ludolph Curring,Johan Philipp Fuchs,,,,Fuchs,Johan,Ludolph,Curring,Philipp,Fuchs,Johan,,,
1712,Aug 8,Conrad Lain,Margretha Lain,Johann Peter b. Aug 1,Johan Peter Gerlach,Anna Maria Lisenus,,,,Lain,Johan,Peter,Gerlach,Maria,Lisenus,Anna,,,
1712,Aug 10,Johann Fridrich Maul,Anna Ursula Maul,Anna; Maria b. Jul 25,Christoph Maul,Anna Barbara Grauberger,Anna Maria Neukirk,,,Maul,Christoph,,Maul,Barbara,Grauberger,Anna,Maria,Neukirk,Anna
1712,Aug 10,Peter Gistler,Anna Lucia Gissler,Johann Hermann b. Aug 5,Herman Hoffman,Johan Hieronymus Weller,Anna Veronica Schlemmer,,,Gissler,Herman,,Hoffman,Hieronymus,Weller,Johan,Veronica,Schlemmer,Anna
1712,Aug 10,Henrich Spohn,Maria Catharina Spohn,Johann Henrich b. Jul 30,Henrich Reiter,wife of Henrich Reiter,Adam Spohn,,,Spohn,Henrich,,Reiter,of Henrich,Reiter,wife,,Spohn,Adam
1712,Aug 9,Johan Peter Schmid,Elisabetha Margretha Schmid,Johann Georg b. Aug 8,Johan Georg Bander,,,,,Schmid,Johan,Georg,Bander,,,,,,
1712,Aug 9,Albert Von Loon,Maria Loon,John b. Jul 1,Johan Albertson,Maria Von Loon,,,,Loon,Johan,,Albertson,Von,Loon,Maria,,,
1712,Aug 9,Georg Zufeld,Anna Catharina Zufeld,"Anna; Sibylla, twin b. Aug__",Henrich Widerwachs,wife of Henrich Widerwachs,,,,Zufeld,Henrich,,Widerwachs,of Henrich,Widerwachs,wife,,,
1712,Aug 9,Georg Zufeld,Anna Catharina Zufeld,"Anna Regina, twin b. Aug__",Henrich Lorentz,wife of Henrich Lorentz,,,,Zufeld,Henrich,,Lorentz,of Henrich,Lorentz,wife,,,
1712,Aug 17,Peter Maurer,Anna Catharina Maurer,Anna; Margretha b. Aug 13,Henrich Mann,Anna Margretha Muller,,,,Maurer,Henrich,,Mann,Margretha,Muller,Anna,,,
1712,Sep 4,Adam Hertel,Anna Margretha Hertel,Maria; Elisabeth b. Aug 31,Elisabetha Catharina Backus,Maria Elisabeth Backus,,,,Hertel,Elisabetha,Catharina,Backus,Elisabeth,Backus,Maria,,,
1712,Oct 5,Daniel Schumacher,Anna Maria Schumacher,Johann Jost b. Sep 29,Jost Beranhard,Niclaus Bason,Michael Hunshitt,,,Schumacher,Jost,,Beranhard,,Bason,Niclaus,,Hunshitt,Michael
1712,Oct 26,Ludwig Leich,Maria Martha Leich,Johann Eberhard b. Sep 4,Johan Eberhard Jung,,,,,Leich,Johan,Eberhard,Jung,,,,,,
1712,Oct 2,Zacharias Flegler,Anna Elisabetha Flegler,Anna; Magdalena b. Sep 19,Elisabetha Magdalena Jung,Niclaus Jung,,,,Flegler,Elisabetha,Magdalena,Jung,,Jung,Niclaus,,,
1712,Nov 9,Gottfrid Ruhl,Anna Margretha Ruhl,Anna; Catharina b. Nov 7,Henrich Stubenrauch,wife of Henrich Stubenrauch,,,,Ruhl,Henrich,,Stubenrauch,of Henrich,Stubenrauch,wife,,,
1712,Nov 10,Bernhard Luckhard,Justina Luckhard,Johannes b. Nov 7,Johan Emerich,,,,,Luckhard,Johan,,Emerich,,,,,,
1712,Dec 18,Johan Michael Emerich,Elisabetha Emerich,Anna; Catharina b. Dec 16,Wilhelm Kuster,Anna Catharina Stubenrauch,,,,Emerich,Wilhelm,,Kuster,Catharina,Stubenrauch,Anna,,,
1712,Dec 26,Stephan Frohlich,Anna Elisabetha Frohlich,Anna; Catharina ;;;b. Dec 14,,Anna Catharina Krantz,,,,Frohlich,,,,Catharina,Krantz,Anna,,,
1712,Dec 24,Johan Ritzbackus,Elisabetha Backus,Johann Peter ;;;b. Dec 23,Peter Maurer,Maria Elizabetha Fritz,Peter Glopp,,,Backus,Peter,,Maurer,Elizabetha,Fritz,Maria,,Glopp,Peter
1713,Feb 8,Gabriel Hostman,Anna Catharina Hostman,Sebastian b. Feb 2,Sebastian Treber,Magdalena Eckhard,,,,Hostman,Sebastian,,Treber,,Eckhard,Magdalena,,,
1713,Feb 21,Dietrich Sutz,Magdalena Sutz,Anreas b. Feb 18,Andreas Richter,Anna Maria Richter,,,,Sutz,Andreas,,Richter,Maria,Richter,Anna,,,
1713,Feb 24,Friedrich Merckel,Anna Barbara Merckel,Maria;; Elisabetha b. Feb 16,,Elisabetha Straubin Maria,,,,Merckel,,,,Straubin,Maria,Elisabetha,,,
1713,Feb 24,Johan Henrich Krantz,Anna Catharina Krantz,Johannes b. Feb 18,Johan Strauss,,,,,Krantz,Johannes,,Straub,,,,,,
1713,Mar 1,Johan Valentin Frohlich,Apollonia Frohlich,Johannes b. Feb 26,Johan Emerich,Anna Margretha Emerich,,,,Frohlich,Johan,,Emerich,Margretha,Emerich,Anna,,,
1713,Mar 4,Mattheus Brunck,Anna Brunck,Niclaus b. Feb 28,Niclaus Jung,,,,,Brunck,Niclaus,,Jung,,,,,,
1713,Mar 8,Johann Philipp Gissler,Anna Catharina Gissler,Johann Hieronymus b. Mar 6,Johan Planck,Hieronymus Kle,,,,Gissler,Johan,,Planck,,Kle,Hieronymus,,,
1713,Mar 18,Johan Conrad Marten,Maria Marten,Johann Fridrich b. Mar 16,Johan Friderich Haeger,,,,,Marten,Johan,Fridrich,Haeger,,,,,,
1713,Apr 2,Ludwig Bertsch,Catharina Bertsch,Johan Ludwig b. Mar 31,Johan Cuntz,Maria Catharina Cuntz,,,,Bertsch,Johan,,Cuntz,Catharina,Cuntz,Maria,,,
1713,Apr 7,Georg Johann Decker,Maria Decker Decker,Johanna b. Apr 3,Joris Decker,Arianicke Decker,,,,Decker,Joris,,Decker,,Decker,Arianicke,,,
1713,Apr 8,Durck Wenn Reichard,Anna Reichard,Anna;; Elisabetha b. Mar 25,Friedrich Maul,Anna Juliana Reuter,Anna Margretha Emerich,,,Reichard,Friedrich,,Maul,Juliana,Reuter,Anna,Margretha,Emerich,Anna
1713,Mar 1,Johan Henrich Schmid,Anna Catharina Schmid,Anna;; Elisabetha,Adam Schmid,Catharina Elisabeth Schleicher,Anna Christina Theis,,,Schmid,Adam,,Schmid,Elisabeth,Schleicher,Catharina,Christina,Theis,Anna
1713,Apr 12,Henrich Chisem,Anna Chisem,Christina,Jan Chisem,Margaretha Schutt,,,,Chisem,Jan,,Chisem,,Schutt,Margaretha,,,
1713,Apr 19,Johan Michael Schutz,Maria Schutz,Benjamin,Johan La Gransche,Eutike La Gransche,,,,Schutz,Johan,La,Gransche,La,Gransche,Eutike,,,
1713,Apr 19,Peter Pfuhl,Anna Sophia Pfuhl,Anna; Catharina,Henrich Schmid,Anna Catharina Schmid,,,,Pfuhl,Henrich,,Schmid,Catharina,Schmid,Anna,,,
1713,May 17,Peter Oberbach,Elisabetha Oberbach,Anna; Maria,Johan Peter Oberbach,Anna Maria Thomas,Anna Gertraud Schutz,Johan Peter Schuss,,Oberbach,Joh,Peter,Oberbach,Maria,Thomas,Anna,Gertraud,Schutz,Anna
1713,May 24,Arend Von Schaack,Maria Schaack,Jannike b. May 6,Albert Von Loon,Maria Loon,,,,Schaack,Alberth,Von,Loon,,Loon,Maria,,,
1713,May 31,Zacharias Hoffman,Ester Hoffman,Jannike b. Apr 11,Josua Kocherthal,,,,,Hoffman,Josua,,Kocherthal,,,,,,
1713,Aug 2,Abraham Vorstung,Clara Vorstung,Isaac b. Jun 23,Gabriel Prusti,Gerdraut Prusie,,,,Vorstung,Gabriel,,Prusie,,Prusie,Gerdraut,,,
1713,Aug 2,Martin Netzbacher,Anna Barbara Netzbacher,Anna; Maria b. Jul 28,,Catharina Widerwaxin Maria,,,,Netzbacher,,,,Widerwaxin,Maria,Catharina,,,
1713,Aug 23,Christian Castelmann,Anna Maria Judith Castelmann,Maria Justina b. Aug 23,Justina Luckhard,,,,,Castelmann,Justina,,Luckhard,,,,,,
1713,Oct 6,Just Henrich Schaster,Agnes Schast,Johann Philipp b. Sep 7,Johann Philipp Wolleben,,,,,Schaster,Joh,Philipp,Wolleban,,,,,,
1713,Oct 25,Henrich Fehling,Anna Kunigunda Fehling,Johann Jacob b. Oct 9,Jacob Best,Martin Zerb,wife of Martin Zerb,,,Fehling,Jacob,,Best,,Zerb,Martin,of Martin,Zerb,wife
1713,Nov 1,Johan Planck,Maria Margretha Planck,Johann b. Oct 27,Johan Emerich,,,,,Planck,Johan,,Emerich,,,,,,
1713,Nov 29,Johan Peter Oberbach,Maria Christina Oberbach,Johann Christian b. Nov 22,Joh Stahl Christian Meyer,Anna Christina Thomas,,,,Oberbach,Joh,Stahl Christian,Meyer,Christina,Thomas,Anna,,,
1713,Dec 13,Arnold Falck,Anna Elisabeth Falck,Johan Peter b. Dec 10,Joh Peter Sutz,Anna Margretha Burckhard,,,,Falck,Joh,Peter,Sutz,Margretha,Burckhard,Anna,,,
1713,Dec 20,Johan Henrich Neukirk,Anna Maria Neukirk,Maria; Catharina b. Dec 11,Friedrich Maul,Catharina Gistler,Maria Margretha Kle,,,Neukirk,Friedrich,,Maul,,Gistler,Catharina,Margretha,Kle,Maria
1713,Dec 20,Simon Hess,Rosina Haas,Zacharias b. Dec 12,Zacharias Flegler,Eva Anna Elisabetha Zegler,,,,Haas,Zacharias,,Flegler,Anna Elisabetha,Zegler,Eva,,,
1714,Jan 3,Hieronymus Weller,Anna Juliana Weller,"Hieronymus Adam b. Dec 28, 1713",Adam Hertel,Gerdraut Weid,Hieronymus Scheib,,,Weller,Adam,,Hertel,,Weid,Gerdraut,,Scheib,Hieronymus
1714,Jan 10,Johan Peter Becker,Anna Elisabetha Becker,Johann Christian b. Jan 2,Amilia Kle,Johan Valentin Falckenburger,Johan Christian Dieterich,,,Becker,Amilia,,Kle,Veltin,Falckenburger,Johan,Christian,Dieterich,Johan
1714,Jan 10,Adam Spohn,Anna Maria Spohn,Anna; Margretha b. Jan 8,Georg Schmid,Anna Margretha Spohn,,,,Spohn,Georg,,Schmid,Margretha,Spohn,Anna,,,
1714,Jan 18,Ananias Dihl,Elisabetha Dihl,Johann Peter b. Jan 10,Johan Peter Hagedorn,Catharina Steiger,,,,Dihl,Johan,Peter,Hagedorn,,Steiger,Catharina,,,
1714,Feb 14,Peter Aigner,Anna Margretha Aigner,Susanna; Margretha b. Feb 9,Margaretha Scharman,Susanna Kuster,Mattheus Schlemmer,Georg Wilhelm Kohl,,Aigner,Margaretha,,Scharman,,Kuster,Susanna,,Schlemmer,Mattheus
1714,Feb 21,Christian Meyer,Anna Gerdraut Meyer,Joh: Wilhelm b. Feb 13,Johan Kle,Johan Wilhelm Schneider,Wilhelm Laeck,Anna Maria Demuth,,Meyer,Johan,,Kle,Wilhelm,Schneider,Johan,,Laeck,Wilhelm
1714,Feb 21,Zacharias Flegler,Anna Elisabetha Flegler,Simon b. Feb 16,Simon Hess,,,,,Flegler,Simon,,Hess,,,,,,
1714,Feb 21,Johan Strauss,Maria Elisabeth Strauss,Johann Wilhelm b. Feb 15,Johan Wilhelm Brandau,Anna Margretha Hertel,,,,Straup,Johan,Wilhelm,Brandau,Margretha,Herdel,Anna,,,
1714,Apr 4,Hieronymus Scheib,Anna Catharina Scheib,Anna; Maria b. Mar 29,Veltin Falckenburger,Maria Mart,Anna Margretha Hertel,,,Scheib,Veltin,,Falckenburger,,Mart,Maria,Margretha,Herdel,Anna
1714,Apr 14,Johann Fridrich Coutermann,Maria Barbara Coutermann,Anna Eva b. Apr 12,,Anna Catharina German,,,,Coutermann,,,,Catharina,German,Anna,,,
1714,Apr 16,Johan Peter Dippel,Anna Catharina Dippel,Anna; Catharina b. Mar 26,Johan Lamert,Anna Veronica Manck,Maria Gerdaut Buck,,,Dippel,Johan,,Lamert,Veronica,Manck,Anna,Gerdaut,Buck,Maria
1714,Apr 18,Joseph Reichard,Anna Maria Reichard,Johann David b. Apr 17,Johan Bernhard Zipperl,wife of Johann Bernhard Zipperl,,,,Reichard,Johan,Bernhard,Zipperl,of Johann Bernhard,Zipperl,wife,,,
1714,May 6,Johan Niclaus Korner,Anna Magdalena Korner,Catharina;; Elisabetha b. Apr 30,Johan Mattheus Jung,Catharina Elisabetha Rau,,,,Korner,Johan,Mattheus,Jung,Elisabetha,Rau,Catharina,,,
1714,May 17,Johan Roshmann,Anna Elisabetha Roshmann,Anna;; Elisabetha b. May 12,Conrad Behringer,Anna Agatha Stahl,,,,Roshmann,Conrad,,Behringer,Agatha,Stahl,Anna,,,
1714,May 28,Mattheus Schlemmer,Anna Veronica Schlemmer,Maria; Catharina b. May 21,Conrad Mart,Gerdraut Kohl,Maria Border,,,Schlemmer,Conrad,,Mart,,Kohl,Gerdraut,,Border,Maria
1714,May 28,Mattheus Schlemmer,Anna Veronica Schlemmer,Maria; Gerdraut b. May 21,Johan Manges,Maria Margretha Kle,Anna Catharina Schutz,,,Schlemmer,Johan,,Manges,Margretha,Kle,Maria,Catharina,Schutz,Anna
1714,Jun 6,Wilhelm Linck,Anna Eva Linck,Anna; Gerdraut b. Jun 1,Johan Grad,Gerdraut Schuch,Anna Margretha Winter,,,Linck,Johan,,Grad,,Schuch,Gerdraut,Margretha,Winter,Anna
1714,Jun 7,Niclaus Haas,Maria Sabina Haas,Anna Sabina b. Jun 6,Johan Herman Speickermann,Anna Catharina Speickermann,,,,Haas,Johan,Herman,Speickermann,Catharina,Speickermann,Anna,,,
1714,Jun 22,Johan Emerich,Anna Margretha Emerich,Elisabetha b. Jun 20,Johan Hess,Catharina Hess,,,,Emerich,Johan,,Hess,,Hess,Catharina,,,
1714,Jul 18,Johan Grad,Walpurga Grad,Anna;; Elisabetha b. Jul 9,Balthas Stuber,Anna Elisabeth Duntzbach,,,,Grad,Balthas,,Stuber,Elisabeth,Duntzbach,Anna,,,
1714,Jul 24,Johan Plass,Elisabetha Plass,Johann Wilhelm b. Jul 17,Johan Wilhelm Schneider,Magdalena Philip,,,,Plass,Johan,Wilhelm,Schneider,,Philip,Magdalena,,,
1714,Aug 1,Johan Leick,Maria Barbara Leick,Anna; Maria b. Jul 19,,Anna Maria Winter,,,,Leick,,,,Maria,Winter,Anna,,,
1714,Aug 1,Samuel Kuhn,Elisabetha Kuhn,Marcus b. Jul 30,Marcus Bellinger,,,,,Kuhn,Marcus,,Bellinger,,,,,,
1714,Aug 1,Johan Conrad Diestenbach,Anna Barbara Diestenbach,Dorothea b. Jul 27,Georg Maurer,Dorothea Maurer,,,,Diestenbach,Georg,,Maurer,,Maurer,Dorothea,,,
1714,Aug 18,Clemens Lehmann,Gerdraut Lehmann,Johann Wilhelm b. Aug 13,Johan Wilhelm Lehmann,Anna Maria Kle,,,,Lehmann,Johan,Wilhelm,Lehmann,Maria,Kle,Anna,,,
1714,Aug 20,Henrich Reiter,Anna Juliana Reuter,Johann Fridrich b. Aug 16,Johan Stahl,Friedrich Maul,,,,Reuter,Johannes,,Stahl,,Maul,Friedrich,,,
1714,Sep 5,David Hupfer,Anna Catharina Hupfer,Sophia b. Aug 28,Gerhard Horning,Sophia Horning,,,,Hupfer,Gerhard,,Horning,,Horning,Sophia,,,
1714,Sep 5,Peter Hamm,Anna Catharina Sibylla Hamm,Anna; Catharina b. Sep 1,Niclaus Schmid,Anna Catharina Rohrbach,,,,Hamm,Niclaus,,Schmid,Catharina,Rohrbach,Anna,,,
1714,Sep 15,Henrich Schneider,Anna Schneider,Johann Samuel b. Sep 10,Samuel Muller,Anna Muller,,,,Schneider,Samuel,,Muller,,Muller,Anna,,,
1714,Sep 19,Jacob Esswein,Margretha Esswein,Johann Wendel b. Sep 15,Johan Wendel Pulver,Theobold Scherer,Justina Scherer,,,Esswein,Johan,Wendel,Pulver,,Scherer,Theobold,,Scherer,Justina
1714,Sep 20,Kilian Munckler,Anna Margretha Munckler,"Anna; Margretha, twin b. Sep 18",Georg Demuth,Anna Margretha Dopf,,,,Munckler,Georg,,Demuth,Margretha,Dopf,Anna,,,
1714,Sep 20,Kilian Munckler,Anna Margretha Munckler,"Anna; Maria, twin b. Sep 18",Georg Schaster,Anna Maria Matheus,,,,Munckler,Georg,,Schast,Maria,Matheus,Anna,,,
1714,Sep 26,Andreas Richter,Elisabetha Richter,Johannes b. Sep 21,Johan Fuhrer,Christina Oberbach,Heinrich Mohr,,,Richter,Johan,,Fuhrer,,Oberbach,Christina,,Mohr,Heinrich
1714,Sep 26,Conrad Behringer,Anna Elisabetha Behringer,Johann Henrich b. Sep 21,Johan Roshmann,Anna Elisabetha Roshmann,,,,Behringer,Johannes,,Roshmann,Elisabetha,Roshmann,Anna,,,
1714,Oct 7,Peter Drechsler,Catharina Drechsler,Anna; Catharina b. Sep 26,Jacob German,Anna Catharina German,,,,Drechsler,Jacob,,German,Catharina,German,Anna,,,
1714,Oct 17,Johann Philipp Gissler,Anna Catharina Gissler,Anna; Catharina b. Oct 13,Apollonia Frohlich,Catharina Elisabetha Rau,,Johan Philipp Feller,,Gissler,Apollonia,,Frohlich,Elisabetha,Rau,Catharina,,,
1714,Oct 21,Adam Eckhard,Anna Eckhard,Anna;; Elisabetha b. Sep 2,,Anna Elisabetha Lambert,,,,Eckhard,,,,Elisabetha,Lambert,Anna,,,
1714,Oct 21,Georg Zufeld,Anna Catharina Zufeld,Anna; Maria b. Sep 18,Peter Dippel,Anna Maria Zipperl,,,,Zufeld,Peter,,Dippel,Maria,Zipperl,Anna,,,
1714,Oct 21,Johann Philipp Wolleben,Anna Margretha Wolleben,Anna; Margretha b. May 12,Veltin Wolleban,Anna Margretha Caputzgi,,,,Wolleben,Veltin,,Wolleban,Margretha,Caputzgi,Anna,,,
1714,Oct 24,Johan Wilhelm Tales,Anna Margretha Tales,Johann Wilhelm b. Oct 18,Johan Niclaus Hess,Johan Wilhelm Hambuch,Maria Catharina Segendorst,,,Tales,Johan,Niclaus,Hess,Wilhelm,Hambuch,Johan,Catharina,Segendorst,Maria
1714,Oct 31,Ruloph Deteutsher,Janike Deteutsher,Ruloph b. Oct 1,Gabriel Prusti,Gerdraut Prusti,,,,Deteutsher,Gabriel,,Prusti,,Prusti,Gerdraut,,,
1714,Nov 2,Johan Henrich Bruchler,Magdalena Bruchler,"Johann Jacob, twin b. Oct 29",Jacob German,Anna Catharina Muller,,,,Bruchler,Jacob,,German,Catharina,Muller,Anna,,,
1714,Nov 2,Johan Henrich Bruchler,Magdalena Bruchler,"Anna; Magdalena, twin b. Oct 29",Jacob German,Anna Catharina Muller,,,,Bruchler,Jacob,,German,Catharina,Muller,Anna,,,
1714,Nov 7,Niclaus Bohnenstihl,Anna Margretha Bohnenstihl,Susanna; Margretha b. Nov 5,,Margaretha Schneider,,,,Bohnenstihl,,,,Schneiderin,Susanna,Margaretha,,,
1714,Nov 7,Niclaus Michel,Maria Barbara Michel,Georg Andreas b. Oct 26,Georg Thater,Johan Andreas Barthel,Elisabetha Barthel,,,Michel,Georg,,Thater,Andreas,Barthel,Johan,,Barthel,Elisabetha
1714,Nov 28,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger,"Johann Hieronymus, twin b. Nov 24",Hieronymus Kle,Christian Dieterich,Johan Wilhelm Kuster,,,Falckenburger,Hieronymus,,Kle,,Dieterich,Christian,Wilhelm,Kuster,Johan
1714,Nov 28,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger,"Agnes, twin b. Nov 24",Catharina Scheib,Anna Elisabetha Becker,Agnes Dieterich,,,Falckenburger,Catharina,,Scheib,Elisabetha,Becker,Anna,,Dieterich,Agnes
1714,Dec 20,Albrecht Dietrich Marterstock,Elisabetha Marterstock,Johanna; Maria Sophia b. Dec 17,Gottfrid Wulsten,Maria Barbara Festu,,,,Marterstock,Gottfrid,,Wulsten,Barbara,Festu,Maria,,,
1714,Dec 26,Sebastian Spickermann,Anna Elisabetha Spickermann,Anna; Maria; Catharina,Niclaus Ohmich,Anna Elisabetha Laugs,,,,Spickermann,Niclaus,,Ohmich,Elisabetha,Laugs,Anna,,,
1715,Jan 2,Veit Mossig,Maria Catharina Mossig,"Johann Heinrich;b. Dec 29, 1714",Henrich Heysorn,,,,,Mossig,Henrich,,Heysorn,,,,,,
