year,date,parents 1,parents 2,child,sponsors 1,sponsors 2,sponsors 3,sponsors 4,sponsors 5,parent last,sponsors 1 first,sponsors 1 middle,sponsors 1 last,sponsors 2 middle,sponsors 2 last,sponsors 2 first,sponsors 3 middle,sponsors 3 last,sponsors 3 first
1711,Apr 7,Georg Luckstad,Elisabetha Lookstad,"Georgius b. Feb 1 bap @ Saderlands,Q'kill",Georg Weigand,Anna Catharina Volck,,,,Lookstad,Georg,,Weigand,Catharina,Volck,Anna,,,
1711,Apr 7,Benjamin Elswa,Famige Elswa,"William bap @ Saderlands,Q'kill",William Clerk,Andeas Volck,,,,Elswa,William,,Clerk,,Volck,Andreas,,,
1711,Apr 7,Isaac Henrickson,Judith Henrickson,"Abraham bap @ Saderlands,Q'kill",Georg Luckstad,wife of Georg Loockstad,,,,Henrickson,Georg,,Loockstad,of Georg,Loockstad,wife,,,
1711,Apr 7,Georg Springstein,Catharina Springstein,"Gertraud, 3 mos old bap @ Saderlands,Q'kill",David Springste,,,,,Springstein,David,,Springste,,,,,,
1711,Apr 7,Johan Brein,Elisabetha Brein,"Maria bap @ Saderlands,Q'kill",Burckhard Meindhard,wife of Burckhard Meindhard,,,,Brein,Burckhard,,Meindhard,of Burckhard,Meindhard,wife,,,
1711,Apr 7,Pieter De Bois,Janike Bois,"Abraham bap @ Saderlands,Q'kill",Andeas Volck,wife of Andreas Volck,,,,Bois,Andreas,,Volck,of Andreas,Volck,wife,,,
1711,Jan 3,Ludwig Bertsch,Catharina Bertsch,Anna; Maria bap at NY,Conrad Friderich,wife of Conrad Friderich,,,,Bertsch,Conrad,,Friderich,of Conrad,Friderich,wife,,,
1711,Jan 7,Johan Planck,Maria Margretha Planck,Johann Michael bap at NY,Michael Pfester,Conrad Gerlach,wife of Conrad Gerlach,,,Planck,Michael,,Pfester,,Gerlach,Conrad,of Conrad,Gerlach,wife
1711,Mar 18,Andreas Ellich,Anna Rosina Ellich,Christian bap at NY,Christian Aigler,,,,,Ellich,Christian,,Aigler,,,,,,
1711,May 1,Michael Pfester,Anna Maria Pfester,Johannes bap at NY,Johan Planck,Anna Kunigunda Wanenmacher,,,,Pfester,Johan,,Planck,Kunigunda,Wanenmacher,Anna,,,
