year,source,target
1737,Michael Cornelise Vreland,Jenneke van Houten
1737,Michael Cornelise Vreland,Jenneke van Houten
1737,Jurian Gerretsen,Geertie 3 Dirckse
1737,Geertie Nieukerk,Catharina Cuyper
1737,Peter 2 Merselis,Jenneke Pryer
1737,Hendrick 1 Sickels,Sara Ackerman
1737,Helmich van Wagenen,Maritie Blinkerhoff
1737,Zacharias 1 Sickels,Rachel van Winkel
1737,Benjamin Spier,Maritie Spier
1737,Joris Vreelant,Annatie 1 van Wagenen
1738,Peter Stuyvesant,Pryntie Pryer
1738,Paulus Nieukerk,Helena Spier
1738,Dirk Cadmus,Jannitie van Hoorn
1738,Helmich van Wagenen,Maritie Blinkerhoff
1739,Jurian Gerretsen,Margriet 1 Diderix
1739,Joris Vreelant,Annatie 1 van Wagenen
1739,Ulrick 2 Brouwer,Maria van de Voorst
1739,Jacob Brouwer,Lea Slot
1739,Arend Toers,Annatie Spier
1739,Peter Stuyvesant,Pryntie Pryer
1739,Hendrick 1 Sickels,Sara Ackerman
1740,Johannes 2 Spier,Geertie Romme
1740,Abraham Sickels,Achtje Blinkerhoff
1740,Joseph Waldron,Aaftje Heilhaaken
1740,Paulus Nieukerk,Helena Spier
1740,Cornelius Gerretsen,Aeltie van Winkel
1740,Hendrick 1 van Winkel,Catharina Waldron
1740,Ide Sip,Annatie 1 van Wagenen
1740,Meyndert 1 Gerbrantse,Tryntie van Winkel
1740,Abraham Diderix,Geertie Bon
1741,Joris Vreelant,Annatie 1 van Wagenen
1741,Geertie van Nieuwkerk,Catharina Cuyper
1741,Helmich van Wagenen,Maritie Blinkerhoff
