year,source,target
1774,Norman McLoud,Jenny McLoud
1774,George Murder,Agness Carr
1774,John Van De Werken,Derkje Van Aalstyn
1774,Philip Schafer,Elizabeth Anstes
1774,Abraham Roelfse,Catharina Souse
1774,Anthony Van Veghten,Maria Fonda
1774,Frederick Miller,Delia Starn
1774,Michael Mier,Elizabeth Wemell
1774,Hendrick Van Hoorn,Elizabeth Van Hoorn
1774,Richard Hoff,Elizabeth Powelson
1774,Hugh Monro,Catharina Camel
1774,Calloe Roos,Jenny Roos
1774,Daniel McCoo,Elizabeth Thenninger
1774,Cornelius Van Aalstyn,Annatie Quackenbush
1774,Abraham Veeder,Annatie Fonda
1774,Roelf Johnson,Elizabeth Lewis
1774,William Van De Werken,Margaret Van Slyk
1774,Johannes Regtmeyer,Geertruy Coonraet
1774,Johannes Regtmeyer,Geertruy Coonraet
1774,Thomas Romeyn,Susanna Van Campen
1774,Jacob Herris,Elizabeth Potman
1774,Johannes Wert,Maria Dorethe
1774,Hugh Fraiser,Maria Thompson
1774,Peter Van Aalstyn,Gerritje Van Aalstyn
1744,Gideon Marlet,Maria Quack
1774,Adam Bekker,Elizabeth Swart
1774,Richard Robinson,Maria Service
1774,Carel H. Van Eps,Catharina Winner
1774,John Van Antwerp,Annatie Veeder
1774,Johannes Harmen,Maria Mitsker
1774,Barent Wemp,Sarah Smith
1774,Frederick Cash,Elizabeth Helmer
1774,Peter Hansen,Rachel Fonda
1774,Jacob Kitts,Eva Service
1774,Hannicel Dachsteder,Derkje Van De Werken
1774,John Morsophe,Maria McDonnel
1774,Hendrick Vrooman,Margaret Van De Werken
1774,William Shesim,Elizabeth Comerson
1774,Adam Lewis,Eche Lewis
1774,Frederick Lewis,Rachel Hover
1775,Thomas Crane,Margaret Crane
1775,Jury Miller,Catharina Heever
1775,Adam Fonda,Neeltie Bries
1775,William Quack,Catharina Van Aalstyn
1775,Adam Plank,Catharina Kleyn
1775,William Quack,Engeltje Quack
1775,Martinus Van Slyk,Maria Starn
1775,Volkert Philipse,Maria McDonnel
1775,Frans a Negro,Sarah a free Negro
1775,Hendrick Lewis,Cataleyna Davis
1775,David Cosaat,Annatie Stimish
1775,Fanno a Negro,Jin a Negro 2
1775,Jack a Negro 4,Jenny a Negro
1775,Lewis Philipse,Margaret Oelok
1775,Petrus Mabee,Alida Peek
1775,Peter Quack,Susanna Bradt
1775,Cornelius Rogers,Christina Potman
1775,Johannes Anstes,Maria Lewis
1775,Thomas Roos,Elizabeth Roos
1775,Isaac Davis,Catharina Wilson
1775,Philip Service,Catharina Seever
1775,John Fonda,Engeltje Hansen
1775,William Marten,Annatie Mortin
1775,Jacob Craft,Sarah Potman
1775,Peter Service,Leta Miller
1775,Ludwig Frederick,Alida Miller
1775,Andries Bowman,Lea Oosterhoudt
1775,Peter Quack,Catharina Frietscer
1775,Aarnhoudt Veeder,Ariaantie Wemp
1775,Bill Colon,Anna Quack
1775,Stuart Hazard,Rachel Clark
1775,Bill Suddert,Susanna Anstes
1775,Thomas Cagnot,Maria Young
1775,Jacob Seerversteen,Sarah Bernhart
1775,Laurens Roelefson,Elizabeth Bernhart
1775,Samuel Pittinger,Elizabeth Kleyn
1775,Richard Lelling,Annatie Bons
1775,Frederick Dachsteder,Catharina Walraat
1775,Arent Smith,Catharina Veeling
1775,Martinus Algire,Catharina Weemer
1775,Mark McLoud,Isabella McOlroe
1775,Hendrick Boosert,Elizabeth Kitts
1775,Adam Frank,Catharina Meyr
1775,David Potman,Catharina Lederin
1775,Johannes Van Slyk,Geertruy Marinus
1775,Jelles Fonda,Annatie Fonda
1775,John Cadogan,Annatie Van Duisen
1775,Adam Sternberg,Margaret Prent
1775,Barent Oelman,Ache Cromwell
1775,Gysbert Van Aalstyn,Limmetje Quack
1775,Samuel Gardinier,Maria Van Everen
1775,Hunter Quack,Neeltie Quack
1775,Johannes Kitts,Annatie Service
1775,Abraham D. Quackenbush,Maria Bradt
1775,Jack a Negro 2,Floor a Negro
1775,Johannes Miller,Catharina Philipse
1775,Jack a Negro 1,Jin a Negro 1
1775,William Hall,Annatie Cownhover
1775,Andries Wemple,Lena Bradt
1775,David Potman,Annatie Collier
1775,Volkert Veeder,Elizabeth Smith
1775,Philip Helmer,Elizabeth Herris
1775,Thomas Elle,Maria Wilse
1775,James Plato,Catharina Van Duisen
1775,Sent Quackenbush,Annatie Van Aalstyn
1775,John Davis,Annatie Veeder
1775,Johannes Evertse,Elionera Krankheyt
1775,Jacob a Negro,Sarah a Negro
1775,George Kirk,Catharina Johnson
1775,Jacob Tanner,Maria Lewis
1775,Johannes Ekker,Annatie Van Antwerp
1775,Hendrick Vrooman,Neeltie Veeder
1775,Philip Miller,Anna Visbach
1775,Benjamin Delyn,Anganieta Philipse
1775,Abraham Van Aalstyn,Annatie Quack
1775,Harmanus Cromwell,Catharina Picket
1775,James Dunn,Rebecca Philipse
1775,Michael Linkerfelt,Catharina Ergesinger
1775,Jacob Keelman,Elizabeth Algire
1775,Jacob Laan,Annatie Loyd
1775,Jacob Collier,Maria Van Aalstyn
1776,John Wemp,Maria Veeder
1776,Peter Hansen,Rachel Fonda
1776,Benoni Bellard,Cobitje Quack
1776,Benoni Bellard,Cobitje Quack
1776,Abraham Van Aalstyn,Lena Van Duisen
1776,Gerrit Newkerk,Neeltie Quack
1776,Adam Lewis,Elsje Lewis
1776,John Van De Werken,Leentje Van Aalen
1776,Donald McBeen,Annatie McNorton
1776,Johannes Dachsteder,Maria Service
1776,David Quack,Catharina Terwilleger
1776,Martinus Gardinier,Dorothea Philipse
1776,Cristoffel Forbutner,Annatie Frederick
