congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0.025802784882069,female_bridge,6,1786,female,157,2,Catharina Van der Veer,white,1754
flatlands-drc,dutch reformed,0.008676707397935,male_bridge,3,1777,male,158,3,Dirk Leek,white,1755
flatlands-drc,dutch reformed,0,false,2,1775,male,159,3,Daniel Leek,white,1755
flatlands-drc,dutch reformed,0,false,2,1775,female,161,3,Elizabeth Sutfen,white,1755
flatlands-drc,dutch reformed,0.015027943544568,false,6,1787,male,164,10,Jan Lott,white,1764
flatlands-drc,dutch reformed,0,false,2,1776,male,165,17,Jacob Jacobus,white,1756
flatlands-drc,dutch reformed,0,false,2,1776,male,166,6,Abraham Van Voorhees,white,1756
flatlands-drc,dutch reformed,0.014952164440656,false,5,1787,female,169,10,Elsie Suydam,white,1764
flatlands-drc,dutch reformed,4.26257459505541E-05,false,3,1777,female,170,14,Geertie Ryerse,white,1756
flatlands-drc,dutch reformed,0,false,2,1776,female,171,17,Maria Deventer,white,1756
flatlands-drc,dutch reformed,0,false,2,1776,female,172,6,wife of Jan Leffersen,white,1756
flatlands-drc,dutch reformed,0,false,3,1776,male,173,8,Lammetie Stryker,white,1756
flatlands-drc,dutch reformed,0.03717596854812,male_bridge,8,1787,male,175,0,Douw Ditmarse,white,1757
flatlands-drc,dutch reformed,0,false,1,1777,female,176,0,Catharina Snederik,white,1757
flatlands-drc,dutch reformed,0.07133655394525,male_bridge,4,1783,male,181,7,Jan Ouke,white,1757
flatlands-drc,dutch reformed,0.008676707397935,male_bridge,5,1782,male,182,15,Joris Rapelje,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,183,15,Jeromus Rapelje,white,1757
flatlands-drc,dutch reformed,0,false,1,1777,male,184,1,Lammer Kallevil,white,1757
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,2,1777,female,185,1,The mother,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,186,5,Wilhelm Wilhelmus,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,187,14,Joris Ryerse,white,1757
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,3,1779,male,188,5,Bernardus Hubbard,white,1757
flatlands-drc,dutch reformed,0,false,1,1777,female,189,5,Sara Leek,white,1757
flatlands-drc,dutch reformed,0.016904831743022,false,5,1791,male,190,6,Johannes Durie,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,191,2,Cornelius Rapelje,white,1757
flatlands-drc,dutch reformed,0.008676707397935,male_bridge,4,1802,male,192,2,Daniel Rapelje,white,1757
flatlands-drc,dutch reformed,0.021511355752044,male_bridge,8,1784,male,193,4,Jeromus Van der Veer,white,1757
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,2,1784,male,194,9,Christofel Stillwell,white,1757
flatlands-drc,dutch reformed,0,false,1,1777,female,195,9,Patience Nedde,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,196,10,Wilhelm Rider,white,1757
flatlands-drc,dutch reformed,0.013005588708914,male_bridge,6,1797,male,197,10,Fernandus Van Sicklen,white,1757
flatlands-drc,dutch reformed,0.041815281558915,false,7,1788,female,198,1,Willempje Schenck,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,female,199,15,wife of Jeromus Rapelje,white,1757
flatlands-drc,dutch reformed,0.021549682675002,female_bridge,4,1779,female,200,5,Hilletie Rider,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,male,201,8,Lammetie Seyker,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,female,202,2,Rensje Schenck,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,female,203,0,Matie Remsz,white,1757
flatlands-drc,dutch reformed,0,false,2,1777,female,204,10,Maria Van Nuys,white,1757
flatlands-drc,dutch reformed,0.237599425058895,male_bridge,28,1802,male,207,11,Johannes Lott,white,1758
flatlands-drc,dutch reformed,0,false,1,1778,female,208,11,Jannitie Barrebasco,white,1758
flatlands-drc,dutch reformed,0,false,1,1778,female,211,11,Lyltie Stryker,white,1758
flatlands-drc,dutch reformed,0,false,2,1778,male,214,14,Andries Emans,white,1758
flatlands-drc,dutch reformed,0.006472798459158,false,5,1802,male,215,15,Nicholas Wyckoff,white,1758
flatlands-drc,dutch reformed,0.027446625749213,male_bridge,8,1802,male,216,11,Johannes Ditmarse,white,1758
flatlands-drc,dutch reformed,0.000471552013183,false,3,1779,male,217,11,Engelbert Lott,white,1758
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,4,1780,female,218,1,Annatie Schenck,white,1760
flatlands-drc,dutch reformed,0,false,3,1791,male,219,0,Gysbert Bogert,white,1762
flatlands-drc,dutch reformed,0,false,3,1791,female,220,0,Margriet Buys,white,1762
flatlands-drc,dutch reformed,0,false,2,1778,female,221,14,Emmetie Dorland,white,1758
flatlands-drc,dutch reformed,0,false,2,1778,female,222,15,Mollie Houwer,white,1758
flatlands-drc,dutch reformed,0.04542623086127,false,10,1790,female,223,0,Maria Ditmarse,white,1758
flatlands-drc,dutch reformed,0,false,3,1778,female,224,10,wife of Jan Suydam,white,1758
flatlands-drc,dutch reformed,0,false,3,1778,male,225,10,Jan Suydam,white,1758
flatlands-drc,dutch reformed,0,false,1,1779,female,226,5,Maaike Willamsen,white,1759
flatlands-drc,dutch reformed,0.01299138012693,male_bridge,7,1802,male,229,3,Rem Hegeman,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,male,230,3,Joseph Hegeman,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,male,231,15,Daniel Danielz,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,male,232,0,Eldert Eldert,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,female,233,11,Catlina Van der Veer,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,female,234,3,Sara Adriance,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,female,235,15,Jannitie Rapelje,white,1759
flatlands-drc,dutch reformed,0,false,2,1779,female,236,0,Jannitie Noordstrom,white,1759
flatlands-drc,dutch reformed,0.030131666193047,male_bridge,8,1802,male,239,13,Jeremiah Van der Bilt,white,1760
flatlands-drc,dutch reformed,0,false,2,1787,female,240,13,Abigail Van der bilt,white,1760
flatlands-drc,dutch reformed,0.004774595639146,male_bridge,5,1802,male,241,1,Nicholas Schenck,white,1763
flatlands-drc,dutch reformed,0,false,1,1780,male,242,1,Johannes Voorhees,white,1760
flatlands-drc,dutch reformed,0,false,2,1780,female,244,13,Neeltie Van derBilt,white,1760
flatlands-drc,dutch reformed,0,false,3,1780,female,245,1,Neeltie Durie,white,1760
flatlands-drc,dutch reformed,0,false,3,1781,female,246,4,Elizabeth Ditmarse,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,male,247,15,Dirk Amerman,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,female,248,15,Margriet Polhemius,white,1761
flatlands-drc,dutch reformed,0.004347826086957,male_bridge,2,1802,male,249,11,Stephan Lott,white,1774
flatlands-drc,dutch reformed,0.008676707397935,female_bridge,3,1802,female,250,11,Annatie Lott,white,1774
flatlands-drc,dutch reformed,0.002188121625462,false,4,1786,male,251,7,Martin Ouke,white,1761
flatlands-drc,dutch reformed,0,false,2,1781,female,252,7,Maria Norell,white,1761
flatlands-drc,dutch reformed,0,false,2,1781,female,253,8,Johanna Stryker,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,male,254,8,Johannes Willemse Wyckoff,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,female,255,8,Johanna Bevoise,white,1761
flatlands-drc,dutch reformed,0.079646995674276,male_bridge,10,1802,male,256,9,Isaac Selover,white,1764
