,canonical,original
38623,Elizabeth  Schneiderin,Elisabeth Schneiderin
38627,Jurie,Jr
38628,Maria  Gilleland,Maria Gilleland
38632,Catharina  Hall,Catharina Holli
38635,Helena Van Wyk,Helena van Wyk
38636,Cornelia De La Matre,Cornlia Delameter
38640,Maria  Kool,Maria Oculi
38641,Annatie  Beecq,Annaatje Pik
38643,Tyatye  Tappen,Tjaadje Tappen
38645,Geurt  Schmidt,Grietje Schmidt
38648,Margriet  Hoef,Margriet Hof
38649,Maritie  Sleght,Mareitje Slegt
38652,Jannitie  Swartwout,Jannetje Swartwoud
38654,Annatie  Oosterwout,Antje Osterhout
38655,Neeltie  Sluyter,Neeltje Sluiter
38660,Susanna  Griek,Susanna Croek
38662,Agnietie  Sluyter,Angenietje Sluiter
38666,Hester  Williams,Hester Willemse
38670,Cathryntje Van Aken,Cathreintje van Aaken
38671,Catharina Du Puy,Catharina Depui
38678,Maria  Roux,Maria Rau
38680,Maria  Been,Maria Binnewee
38685,Elizabeth  Finnix,Elisabeth Phenix
38686,Jannitie  Teneik,Jenneke Teneik
38687,Arend  Duboi,Arriaantje Dubois
38690,Molly  Roose,Malli Rosa
38691,Debora Van Bomme,Debora van Bome
38692,Clara  Westfael,Clara Westval
38694,Elizabeth A Vleet,Elisabeth Velte
38708,Margriet Van Aken,Margriet van Aaken
38709,Geertje  Rosekrans,Geertje Rosekrans
38715,Maritie  Du Mon,Mareitje Dumont
38716,Elias  Haasbrouck,Elsje Haasbrouck
38718,Annatie  Schoenmaker,Wyntje Schoonmaker
38721,Maria  Biggs,Maria Bakkes
38723,Catharina  Tammes,Catharina Thomas
38728,Maria  Wells,Maria Elles
38738,Catharina  Neukirk,Catharina Nieuwkerk
38740,Elizabeth  Oliver,Elisabeth Oliver
38741,Annatie  Rapelje,Antje Rapelje
38742,Arend  Wynkoop,Arriantje Wynkoop
38748,Elizabeth  Mank,Elisabeth Monk
38749,Margretha  Scherkerin,Margretha Scherkerin
38752,Hannah  Bomme,Hanna Beem
38753,Maritie Du Graef,Mareitje de Graaf
38754,Jannitie  Wynkoop,Jenneke Wynkoop
38758,Elizabeth  Terwilligen,Elisabeth Terwilge
38760,Divertje Vander Berger,Divertje van der Berg
38764,Maria  Schergerin,Maria Schergerin
38771,Rachel Van Wagener,Rachel van Wagenen
38776,Rachel  Ratclif,Rachel Radcliff
38787,Helena Du Bois,Helena Dubois
38789,Geurt Du Bois,Gerretje Dubois
38790,Maritie Van Steenberg,Mareitje van Steenbergen
38791,Rachel  Swaart,Rachel Zwart
38792,Helena  Kierstede,Helena Kiersteede
38793,Elizabeth  Steenbergn,Elizabeth Steenbergn
38796,Maria  Hall,Maria Laauw
38799,Catharina  Hardenbroek,Catrina Hardenberg
38802,Annatie  Bomme,Annatje Behm
38804,Eegje  Roose,Agje Rosa
38805,Jannitie  Burhans,Jenneke Borhans
38807,Maria  Demeier,Marytje Meyer
38809,Maria Van Benschooten,Maria van Bunschoten
38811,Annatie  Palmetier,Antje Palmetier
38813,Catharina  Kernryk,Cathrina Keernryck
38814,Elizabeth  Berger,Lisabeth Burger
38816,Maria  Ploeg,Maria Ploegh
38818,Elizabeth  Wittikar,Lisabeth Witaker
38819,Catharina  Legg,Catrina Lek
38821,Elizabeth  Beekman,Elizabeth Beekman
38823,Geertje  Kool,Geertje Kool
38825,Geurt  Schomaker,Geertruy Schomacker
38827,Geurt  Bekker,Grietje Backer
38831,Jannitie Van Vleet,Jenneke Van Vliet
38834,Annatie  Decker,Annatje Witteker
38835,Catharina  Schepmoes,Cathrina Schepmoes
38837,Catharina  Hoef,Cathrina V
38838,Rachel Du Bois,Rachel Du Bois
38839,Tjadje  Tappen,Tjatje Tappen
38841,Margriet  Elmendorp,Margriet Elmendorp
38842,Rachel  Sleght,Rachuel Slegt
38843,Catharina  Haasbrouck,Catharina Hasbrouck
38846,Hilletie  Schomaker,Hilletje Schomaker
38847,Maria  Schmidt,Maria Smit
38848,Catharina  Schomaker,Cathrina Schomaker
38849,Maria  Kokkin,Maria Kakken
38850,Catharina Du Mon,Cathrina Dumont
38852,Kenigunda,Kenigunda
38854,Molly  Swaart,Mallie Swart
38855,Maria  Bunschoote,Maria Bunschoot
38856,Trentje  Wells,Treintje Wels
38857,Lowi  Duboi,Lea du Boy
38858,Margriet  Hodje,Margriete Dejoo
38859,Peek  Frere,Becca Freer
38862,Jacomin  Eltingh,Jacomyntje Eltinge
38864,Catharina  Nottingham,Catharina Nottinghem
38865,Susanna  Griek,Susanne Kroek
38866,Elizabeth  Chrispel,Elisabeth Crispel
38868,Arend Van Brown,Arriaantje van Buuren
38869,Maritie  Bolhans,Marytje Bolhans
38871,Elizabeth  Valk,Elisabeth Falke
38872,Elizabeth  Smedes,Elisabeth Smetus
38876,Harmanus  Suiderlant,Hermannus Suiderland
38877,Sara  Ploeg,Sarah Ploeg
38878,Aegtje  Roose,Aegtje Rosa
38879,Cornelia  Tapper,Cornelia Tapper
38882,Johannes  Jansen,Johannes H Janssen
38883,Enn  Soevelt,Anna Zufelt
38885,Arend  Chrispel,Arriaantje Crispel
38886,Cathryntje  Berger,Catharintje Burger
38887,Catharina Du Puy,Cathrina du Bois
38889,Pett  Smedes,Betje Smetus
38891,Blandina  Dubois,Blandina de Boys
38893,Maria  Langendyk,Marya Langendyk
38895,Maritie  Schmidt,Marytje Smit
38896,Rebecca Du Boys,Rebecca du Booys
38897,Engeltie  Heromans,Engeltje Heermansse
38899,Margriet  Neukirk,Margriet Nieuwkerk
38900,Jonathan Van Den Marck,Jonathan van den Merk
38905,Anneke Van Leeuwen,Annake van Leuven
38906,Lydia Van Vleet,Lydia van Vliet
38907,Rebecca  Tack,Rebecca Tak
38910,Josyntje Van Aken,Josyntje van Aaken
38911,Apollonia  West,Appellonia Wiest
38912,Maria  Kantyn,Maria Contyn
38913,Catharina  Schyler,Catharina Schyler
38914,Elizabeth  Sysy,Elisabeth Sies
38916,Geertrout  Ploeg,Geertruid Ploeg
38917,Catharina  Elmendorp,Cathrina Elmendorp
38921,Gritje  Benschooten,Gerritje Bunschoten
38922,Sara  De La Mater,Sarah de Lametter
38925,Hester Du Lameetere,Hester de Lametter
38927,Annatie  Decker,Annatje Wittaker
38929,Barbara  Bosch,Barbara Bosch
38931,Molly  Beekman,Molly Beekman
38933,Annatie  Zuilen,Annaatje Zuilen
38936,Abraham Le Matre,Abraham Lametter
38938,Cornelia  Dubois,Cornelia du Boys
38939,Margriet Du Mon,Margrietje de Mon
38940,Sara Van Benschooten,Sara van Bunschoten
38942,Magdalena  Lefevre,Magdalena le Fever
38943,Maritie  Burhans,Marytje Burhans
38944,Selitje Van Keuren,Seeltje van Keuren
38946,Maritie  Frere,Marrytje Freer
38949,Mayke  Chrispel,Ma�ke Crispel
38950,Maritie  Ploeg,Marytje Ploeg
38953,Dirk  Swaart,Dirk Swart
38955,Gertrud  Schomaker,Gertryd Schomaker
38957,Maria  Schomaker,Mary Schomaker
38959,Jannitie  Keeter,Jennetje Keter
38961,Lydia  Tack,Lydia Tak
38964,Mattie  Kermer,Metje Kermer
38965,Helena  Bolhans,Lena Bolhans
38967,Enn,Anna Huwy
38968,Agetta  Doejou,Agetta Dejo
38969,Annatie Van Vleet,Annatje van Vliet
38971,Lentje  Lefevre,Leentje le Fever
38974,Sara  Frere,Sarah Freer
38976,Annatie  Decker,Annatje Dekker
38978,Margriet  Schmidt,Margriet Smidt
38980,Johanna  Schmidt,Johanna Smit
38982,Cornelia Van Keuren,Cornelia van Keuren
38987,Meriba  Herker,Miereba Herker
38991,Oetje Van Weye,Eitje van Wie
38992,Maritie  Chrispel,Marytje Crispel
38993,Richer  Broodheed,Richer Breadheat
38995,Cornelia  Vleet,Cornelia Vliet
38998,Maritie Du Lameetere,Marytje de Lametter
39000,Neeltie  Mot,Neeltje Middag
39001,Rachel Du Bois,Rachel de Boys
39006,Maria  Ploeg,Marya Ploeg
39007,Elizabeth Van Vleet,Lisabeth van Fliet
39008,Sara  Hoogteyling,Sara Hoochteeling
39010,Maria  Boys,Maria Bos
39011,Margaritien  Hoogteyling,Margaritien Hoochtelling
39012,Magdalena Du Bois,Magdalena Du Boys
39014,Debora Van Vleet,Debora van Fliet
39015,Sara Van Aken,Sara Van Aken
39016,Charles Du Puet,Charles De Bit
39017,Catharina  De La Mater,Catharina De la Mater
39018,Martin  Mayer,Marytien Meyer
39019,Catharina  Hardenbroek,Catharina Hardenbergh
39024,Annatie De La Matre,Annatje De la Meter
39025,Saartje De La Matre,Saertje De la Meter
39031,Catharina  Swaart,Cathrina Swart
39032,Margriet  Elmendorff,Margriet Elmendorph
39035,Elizabeth  Verree,Elisabeth Feer
39037,Jannitie  Enniss,Jannetje Ennes
39038,Hyltje  De Witt,Heiltje De Wit
39040,Maria  Mayer,Marya Meier
39041,Maritie  Maston,Marytje Maston
39043,Evaa  Schwitsler,Eva Schwitsler
39048,Maria  Schryver,Maria Schryver
39055,Agnietie  Keyser,Agniet Keyser
39056,Catharina Van Gaasbeeck,Catharina Van Gaasbeek
39058,Gerratien Van Bonschoten,Gerretien van Binschoten
39060,Sara  De La Mater,Sarah de la Mater
39061,Margriet  Davenport,Margarith Devenport
39062,Seletjen  Palmentier,Silletjen Palmentier
39063,Elizabeth  Sylant,Elisabeth Zuyland
39065,Gerrit Van Sleg,Gerrit van Slyk
39068,Esther  Launsberry,Esther Launsberry
39069,Annetjen  Low,Anntjen Low
39070,Marretjen  Welsch,Marytjen Welsch
39071,Tjaertjen Du Bois,Tjaertjen du Boys
39072,Mayke  Eltingh,Mayken Eltinge
39073,Evaa  West,Eva Wust
39075,Elias  Eltingh,Elsjen Eltinge
39076,Gerritjen  Roose,Gertjen Rosa
39077,Janneke Van Vleet,Jenneken Van Vliet
39078,Annatie  Sch�Rter,Annatjen Sch�fer
39079,Tanneke  Crom,Tanneken Krom
39080,Annatie  Teerpenning,Annatjen Teerpenning
39087,Elizabeth  Keeter,Elisabeth Keter
39088,Annatie  Bosch,Annatjen Bosch
39094,Sara  Hardenbroek,Sarah Hardenbergh
39095,Jannitie  Dubois,Jannetje du Bois
39098,Petronella  Schoenmaker,Peternella Schoonmaker
39099,Arend  Low,Ariaantje Louw
39100,Maria  Cuper,Maria Cooper
39102,Rachel  Roose,Rachel Roos
39106,Catharina Vander Marcken,Catharina Van der Merken
39108,Sara Van Benschooten,Sarah Van Binschooten
39109,Margriet  Heyndryck,Margaretha Hendrik
39110,Maria Du Graef,Maria De Graaf
39111,Christina  Pier,Christina Pier
39114,Moses Contyn Jr,Moses Contein jr
39117,Elizabeth  Samuels,Elisabeth Samels
39118,Margriet  Lasse,Margrietje Wels
39120,Helegun  Roose,Helegun Rosa
39122,Maria Du Bois,Maria du Boys
39123,Gritje  Neukirk,Gerritje Nieukerk
39124,Maria  Maris,Maria Meiers
39125,Jannitie  Jackson,Jannetje Jakson
39126,Elizabeth  Davenport,Elizabeth Devenport
39127,James  Wittikar,James Widdeker
39129,Sara  Elmendorff,Sara Elmendorph
39130,Mayke  Sleght,Mayke Slecht
39133,Samuel  Wittikar,Samuel Widdeker
