,canonical,original
2601,Wife Of John Roodenbach,wife of John Roodenbach
2606,Sophia  Abel,Sophia Abel
2608,Catharina  Huber,Catharina Huber
2611,Wife Of Jacob Lungen,wife of Jacob Lungen
2613,Wife Of Moritz Croeter,wife of Moritz Croeter
2617,Wife Of Benjamin V Sickels,wife of Benjamin v Sickel
2627,Wife Of William Fritz,wife of William Fritz
2628,Wife Of Frederik Bartelszen,wife of Frederik Bartels
2636,Wife Of Daniel Vooss,wife of Daniel Vooss
2639,Wife Of Philip Buehler,wife of Philip Buehler
2643,Catharina  Maria,Cathar More
2644,Wife Of Joh Buehler,wife of Joh Buehler
2645,Wife Of Jacob Klein Sr,"wife of Jacob Klein, Sr"
2646,Wife Of J Jacob Klein Sr,wife of J Jacob Klein Sr
2648,Wife Of Mart Holflander,wife of Mart Holflander
2655,Wife Of J Wilhelm Kleyn,wife of J Wilhelm Cline
2656,Wife Of Jacob Neff,wife of Jacob Neff
2657,Maria  Collier,Maria Collier
2660,Wife Of Simeon Schenck,wife of Simeon Schenck
2661,Wife Of Philip Rau,wife of Philip Rau
2665,Elizabeth  Schenkel,Elisabeth Schenkel
2669,Wife Of Cunrad Bonn,wife of Cunrad Bonn
2675,Wife Of Frederik Bartelszen,wife of Frederick Bartels
2679,Wife Of Jacob Kraetschlj,wife of Jacob Kraetschlj
2680,Wife Of John Johnson,wife of John Johnson
2693,Wife Of Henry Maria,wife of Henry Meyer
2694,Justina  Eichler,Justina Eichler
2697,Anna Mohr Bengert,Anna Maria Bengert
2701,Wife Of Henry Schweifer,wife of Henry Schweifer
2702,Wife Of Balths Pikel,wife of Balths Pikel
2703,Wife Of Friederich Pikel,wife of Friederich Pikel
2711,Ursula  Appelman,Ursula Appelman
2717,Wife Of Aaron Kleyn,wife of Aaron Klein
2718,Wife Of Carl Eversohl,wife of Carl Eversohl
2719,Wife Of Carl Evershohl,wife of Carl Evershohl
2720,Wife Of Anton Moelich,wife of Anton Moelich
2722,Wife Of Jacob Kleyn,wife of Jacob Klein
2724,Wife Of Mynhard Faerly,wife of Mynhard Faerly
2734,Wife Of John Haveland,wife of John Haveland
2738,Wife Of John Hildebrand,wife of John Hildebrand
2740,Wife Of Freder Fritz,wife of Freder Fritz
2744,Wife Of Christoph Hildebrand,wife of Christoph Hildebrand
2747,Wife Of Philip Fine,wife of Philip Fine
2748,Wife Of Christine Kleyn,wife of Christine Kline
2763,Wife Of Frederick Fritz Sr,wife of Frederick Fritz Sr
2764,Wife Of Michel Abel,wife of Michel Abel
2765,Wife Of Wm Fritz,wife of Wm Fritz
2766,Wife Of Frederick Sr Fritz,wife of Frederick Sr Fritz
2768,Wife Of Maurz Fritz,wife of Maurz Fritz
2770,Wife Of Mr Steimetz,wife of Mr Steimetz
2771,Frederick  Fritz,Frederick Fritz
2775,Wife Of Frederick Fritz Sr,wife of Frederik Fritz Sr
2777,Wife Of Frederich Fritz Sr,wife of Frederich Fritz Sr
2793,Anna  Mettler,Anna Mettler
2795,Maria  Young,Maria Young
2796,Wife Of Thom Boskerk Sr,wife of Thom Boskerk Sr
2797,Wife Of Paul Antonj,wife of Paul Antonj
2802,Wife Of Georg Benghard,wife of Georg Benghard
2806,Wife Of John Schmidt Sr,wife of John Schmidt Sr
2808,Wife Of Isaac Brown Esq,"wife of Isaac Brown, Esq,"
2809,Wife Of Doctor Miller,wife of Doctor Miller
2810,Joh:  Vogt,J Voigt
2812,Wife Of Dr Buskirk,wife of Dr Boskirk
2813,Wife Of Abrm Buskirk,wife of Abrm Buskerk
2815,Wife Of John Van Norden,wife of John Van Norden
2821,Wife Of George Mohr Sr,wife of George Mohr Sr
2825,Wife Of John Schwachheimer,wife of John Schwachheimer
2827,Wife Of Cunrad Schwachheimer,wife of Conrad Schwachheimer
2829,Sara  Bell,Sarah Bell
2831,Wife Of David Johnson,wife of David Johns
2836,Wife Of Balth Sr,wife of Balth Sauer
2837,Wife Of William Graaf,wife of William Graaf
2838,Experience  Harris,Experience Harris
2844,Elizabeth  Duffort,Eliza Duffort
2845,Dorothea  Hartram,Dorothea Hartram
2847,Wife Of Nicolaus Schmidt,wife of Nicolaus Smidt
2850,Wife Of Peter Schworer,wife of Peter Schworer
2854,Wife Of Philip Line,wife of Philip Line
2857,Cornelia  Fritz,Cornelia Fritz
